Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Barbados,BRB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.768958542,1.116208676,1.582317434,0.992531437,1.625477453,4.520763343,2.894454322,3.347679161,3.01995707,1.306616854,2.67282392,0.344084832,0.500725185,0.416576138,1.433142785,0.432814011,0.557283807,0.367464176,0.738375064,0.455674015,0.601949041,2.877965523,0.670002532,1.128869605,1.035130214,1.610513839,2.408790453,2.995741069,7.350499076,5.754830615,6.62895921,10.212368,8.1155066,10.19263623,12.85543398,7.972135568,9.389493259,9.866521878,11.45411429,2.225442064,16.04838618,14.57293,11.53573415,1.836400695,4.739711132,4.060396991,5.589040324,
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,47.76075082,-8.885033173,-1.395768428,0.066960368,0.193744821,0.072755017,-2.170672393,-0.189874752,0.235372803,0.012483148,-0.397052039,-0.254453865,0.145629281,0.094155024,0.021149904,0.104154467,-0.256508875,-0.00254133,0.017095811,0.334955862,0.198832471,0.135074277,0.167322084,0.194850769,0.14410357,12.31005697,12.77659781,13.501925,14.15031268,16.25801453,9.158360446,1.08362189,3.930498376,1.888281555,1.438021789,1.836754981,0.765769354,2.103544653,1.543688044,3.033690978,3.507036879,3.730949183,4.540677437,4.286776224,3.356501991,1.324701748,-1.320522338,3.858208317,3.804741353,2.771141484,4.710565406,
Bhutan,BTN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556215706,0.249667115,,,,0.01721379,0.461383001,-0.198716319,,0.263049543,,,0.465664584,0.55795901,1.298109575,0.779343364,0.699745468,6.321598166,0.256066013,1.482941272,4.862689355,1.752382634,1.368715532,1.163503519,1.234075042,0.321968437,0.550454644,-0.675563046,0.108279484,0.513136317,-0.120364395,
Botswana,BWA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.022873287,-10.77468316,3.029488242,2.70887401,6.913131204,15.59400595,10.51448807,8.235571501,2.076534659,2.029737944,5.009258402,4.809249962,5.055481313,5.779523019,1.509584743,1.367987666,2.529699692,-0.20826592,-0.037722892,-6.897679919,-0.332319066,1.488459308,1.468356845,1.994132797,1.989749587,0.668733486,0.987700169,0.558884524,7.501528068,5.565281275,4.363836574,4.242949051,4.802907024,4.521727883,4.759383734,2.032693008,1.707873139,1.909904823,1.015883955,0.450529647,3.290933483,2.787841797,0.944948521,1.619642221,1.690616757,0.560658543,0.213041132,
Central African Republic,CAF,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.634562881,0.347479439,0.651273717,-0.073750919,2.061132676,1.478899186,0.82012189,-0.560847351,0.996511686,3.247514248,0.67042774,0.832097612,1.223261014,0.67848512,0.80731978,0.345905908,0.727137987,0.990741019,-0.30258951,0.104157669,0.048437881,-0.353864316,-0.756175026,-0.780440981,0.423212354,0.555910237,1.084111039,0.159684097,0.754709452,0.598007105,0.096978287,0.555825503,0.566656661,0.989218809,1.186770558,0.754917589,2.37163652,3.338605893,5.874863885,2.045098916,2.871289444,1.513893174,2.790104473,0.109532616,0.183395774,0.176904972,0.397590036,0.33241255,0.810612601,1.152529651,1.493397689,
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.078724514,2.289990434,1.866661931,2.425012507,2.321282135,1.947940463,1.18635581,1.593399298,1.710717949,2.183606006,2.122763376,0.21675003,0.028727072,1.356215268,1.596989221,0.344547723,0.717913443,1.993269728,1.418416936,1.269193177,1.414596719,0.575791877,1.184737663,0.723955646,1.650299407,2.261072613,1.402868239,2.317969735,3.939938217,4.04710364,9.171024287,3.841921293,3.219147678,0.782967555,0.141465896,2.178163809,4.87410129,8.200559049,4.515137142,1.524131181,1.837256387,2.137833108,2.700169009,3.629803984,3.55390337,3.853894537,2.238350121,1.53752072,2.469312073,2.78685844,1.614085262,
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.074049426,1.154231497,1.350224185,2.189302199,1.762561242,3.192579622,2.706529451,3.486778649,4.381751583,5.081500545,5.501413618,4.612766214,5.01176906,3.219182779,5.639805208,8.426074434,8.138996443,12.10863793,9.039515086,2.373441653,1.593053011,3.45078719,2.901269167,1.078824198,3.609696075,1.737510069,8.751092993,1.978715371,-1.288041001,9.057239956,12.98023519,
Switzerland,CHE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,0.560131943,0.70939731,1.140986094,1.33296012,1.163614045,0.187856889,1.198948685,2.084611287,1.054810741,0.402805698,0.626476369,1.220938762,1.177531885,1.43337199,2.843549243,3.733526999,4.871132888,8.247850476,3.39976006,2.662377694,5.431850099,1.751355267,0.633680379,12.11368683,9.865169051,0.524445848,8.537904259,2.928360211,2.875814967,5.771266415,-3.497233456,2.859911358,16.91269259,23.97947677,20.33219794,-21.80547445,1.199139732,-34.20896307,
Channel Islands,CHI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.135103896,-0.174290701,-0.009279711,-0.028509892,0.014250107,0.655977095,-0.00966938,0.150398627,1.131962166,1.119076275,0.733554183,1.109827162,1.583359753,0.663196455,0.39750231,0.815121359,1.670103143,4.001274713,3.716941086,4.294698261,1.996745304,2.174453509,2.036579343,2.098066372,4.52933051,4.026028906,6.127462505,6.148918279,5.644003652,11.58924315,6.21089185,5.872391667,3.627465745,5.262874578,6.860421332,6.100813121,4.931219341,7.808474508,10.28206206,8.082907946,7.378757799,10.17612078,11.74066809,8.011284139,9.081561081,8.610073335,4.945321938,2.21729324,2.626803555,4.518053651,3.374387375,
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,4.49E-05,0.029819636,0.135296316,0.209664357,0.275698543,0.483945715,0.536046583,0.623424606,0.847702965,1.022558946,0.97565029,0.966308311,1.138837732,2.613162193,6.186882076,5.987156294,4.88044416,4.651826651,4.725334152,4.435577102,3.74900388,3.475082246,3.51300212,3.609099885,3.48740331,3.483641114,4.554254034,4.508579016,4.40096483,3.73363489,2.568888291,4.0035629,3.708828902,2.827090556,3.039875469,2.559233447,2.192181603,1.55564215,1.349132679,1.693905294,1.310718778,1.723183793,
